"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
26.22,90,-84,-10.2432009923491,-38.666848661477
26.22,90,-82,-9.72184308209187,-36.2631372105044
26.22,90,-80,-9.55429422371284,-34.9794712490058
26.22,90,-78,-9.56122270508661,-34.7066885682382
26.22,90,-76,-9.46311655968057,-35.4316101267764
26.22,90,-74,-8.97919434766844,-37.1550715649677
26.22,90,-72,-8.04546405868208,-39.3936450880437
26.22,90,-70,-6.85921014277605,-39.9384861152496
26.22,90,-68,-5.6679386259055,-38.0673870919616
26.22,90,-66,-4.61746461485164,-36.2528439617896
26.22,90,-64,-3.74428945274858,-35.3999605470545
26.22,90,-62,-3.01126429666701,-35.4991763949674
26.22,90,-60,-2.34251525361088,-36.3335157346596
26.22,90,-58,-1.66082138487976,-37.4879588429374
26.22,90,-56,-0.924433269307693,-38.4472323413966
26.22,90,-54,-0.141626756236833,-39.1986101880511
26.22,90,-52,0.647915682531851,-40.4636712911634
26.22,90,-50,1.40481368812258,-43.3522002527942
26.22,90,-48,2.10973256984374,-50.7634842740973
26.22,90,-46,2.76544522752489,-55.3066810615845
26.22,90,-44,3.38826194707121,-43.9901436815694
26.22,90,-42,3.99644491615269,-39.723516628633
26.22,90,-40,4.60049459902945,-37.3970030854183
26.22,90,-38,5.19814532800245,-35.9424507897136
26.22,90,-36,5.77499782630886,-34.8929832669866
26.22,90,-34,6.3095357871155,-34.0553676064372
26.22,90,-32,6.77975277758481,-33.4234640880196
26.22,90,-30,7.16864735294878,-33.090026322413
26.22,90,-28,7.46707171161039,-33.1834291441553
26.22,90,-26,7.67378390765596,-33.8574837754195
26.22,90,-24,7.79344550779998,-35.3099600328935
26.22,90,-22,7.8337801595666,-37.7110003881756
26.22,90,-20,7.80334209134965,-40.108493861536
26.22,90,-18,7.71125260781467,-38.5793638940098
26.22,90,-16,7.56962541302069,-34.9283656729229
26.22,90,-14,7.39816341620662,-32.0547785605511
26.22,90,-12,7.22869791456173,-30.1230398920111
26.22,90,-10,7.10557638152514,-28.9409122930268
26.22,90,-8,7.07726064097689,-28.3546969166254
26.22,90,-6,7.17866884874836,-28.2447665953738
26.22,90,-4,7.41327513667273,-28.4943616069457
26.22,90,-2,7.74868358354264,-28.9674194430627
26.22,90,0,8.12899760433656,-29.5148037853243
26.22,90,2,8.49302740941523,-30.0299216000512
26.22,90,4,8.78680468296184,-30.5245751962364
26.22,90,6,8.96800470467351,-31.1413181234028
26.22,90,8,9.00588606431995,-32.0859615279325
26.22,90,10,8.88072612974753,-33.5272358599127
26.22,90,12,8.58526111248003,-35.3394833605892
26.22,90,14,8.12979684397819,-36.3545918197446
26.22,90,16,7.55233053402089,-35.1918249996436
26.22,90,18,6.93267884900846,-33.2444420608068
26.22,90,20,6.39967373210448,-31.9950292402841
26.22,90,22,6.1030309857183,-31.9165097630627
26.22,90,24,6.13297297641917,-33.3582185759809
26.22,90,26,6.45064800975704,-37.1967162211635
26.22,90,28,6.9175438175604,-45.1681536538414
26.22,90,30,7.38367583456463,-39.2017345087207
26.22,90,32,7.73993596708167,-33.856299215768
26.22,90,34,7.9212241839385,-31.5853164662347
26.22,90,36,7.89136456579268,-31.1595393913036
26.22,90,38,7.62927419149843,-32.2805966922725
26.22,90,40,7.12147797885526,-35.0810834438842
26.22,90,42,6.36174136145613,-40.2649330620869
26.22,90,44,5.35987024595197,-50.2906567663336
26.22,90,46,4.16593444160641,-50.5502517720879
26.22,90,48,2.91839164840357,-45.2622503769441
26.22,90,50,1.89512957962917,-41.1578544585985
26.22,90,52,1.43796355258444,-36.9225052027807
26.22,90,54,1.65602998772708,-33.6503865418174
26.22,90,56,2.30185287914609,-31.5210267063072
26.22,90,58,3.04709012348018,-30.3655674818891
26.22,90,60,3.68924988980646,-29.9929094042133
26.22,90,62,4.14515860577379,-30.2169340746442
26.22,90,64,4.39527627248845,-30.8280610986505
26.22,90,66,4.44854362722437,-31.5797163611789
26.22,90,68,4.32583082568325,-32.239577115773
26.22,90,70,4.05188232351586,-32.6957896478041
26.22,90,72,3.6502953486908,-32.9912987329392
26.22,90,74,3.13961031272041,-33.2351905875683
26.22,90,76,2.53032920111711,-33.5151321469219
26.22,90,78,1.82327172838784,-33.8797815481632
26.22,90,80,1.00955695870961,-34.3499723455275
26.22,90,82,0.0720344099707189,-34.9172310831005
26.22,90,84,-1.01247933872802,-35.5248981511719
26.22,90,86,-2.27116056475995,-36.0561075208289
26.22,90,88,-3.73479006946211,-36.3754631322806
26.22,90,90,-5.44146935621299,-36.4383661949242
26.22,90,92,-7.44903587452695,-36.3605314239048
26.22,90,94,-9.86521316344602,-36.3525289313253
26.22,90,96,-12.9161526434342,-36.6148507211062
26.22,90,98,-17.1098692581858,-37.2955427080261
26.22,90,100,-23.3327382716377,-38.4910256136083
26.22,90,102,-24.4178950519472,-40.2393202151392
26.22,90,104,-18.7861946848505,-42.4823338279073
26.22,90,106,-15.2209564975119,-45.0717142139359
26.22,90,108,-12.9057889947604,-48.1390608074647
26.22,90,110,-11.2308827946892,-53.1359969369703
26.22,90,112,-9.91093858140955,-58.409091675018
26.22,90,114,-8.86202161914037,-48.7531290874646
26.22,90,116,-8.13460808203272,-43.3143967827555
26.22,90,118,-7.84160084271733,-40.1362135872315
26.22,90,120,-8.10636026806623,-38.1710504576523
26.22,90,122,-9.04098555623221,-36.8294664663672
26.22,90,124,-10.7209423481834,-35.6679535846159
26.22,90,126,-13.0503980773268,-34.5174813917768
26.22,90,128,-15.26035181968,-33.5537691609092
26.22,90,130,-15.7147143860784,-33.0751215278284
26.22,90,132,-14.3473581629243,-33.3033897535077
26.22,90,134,-12.3639483177126,-34.3175611095397
26.22,90,136,-10.302924039269,-35.8821643312854
26.22,90,138,-8.48404738811434,-37.0226498967136
26.22,90,140,-7.18520204487581,-36.7439426671433
26.22,90,142,-6.57404158304175,-35.8576274119278
26.22,90,144,-6.72021290878739,-35.412846644338
26.22,90,146,-7.59295527341224,-35.6437498028749
26.22,90,148,-8.90333829137175,-36.3513022551364
